,sdi
48596,763206
48600,763210
48604,763214
48608,763218
63595,235378
63610,235393
63621,235404
67604,90215
69120,344587
72230,93950
94113,452982
94534,561999
96642,771221
114806,121842
114884,121894
136438,868543
164381,327425
170920,114953
194612,268084
205002,162242
218231,747854
285233,314122
285234,314123
291452,287609
312403,287596
328575,40537
329834,52669
352231,699572
352234,699575
352240,699581
352243,699584
352247,699587
352251,699590
352255,699593
352263,699599
352270,699605
352299,699628
379690,467474
454154,440480
465462,409239
524791,850821
526227,868489
529663,239486
529664,239487
548850,467389
553719,324297
554084,366472
614172,314115
614174,314116
633106,423396
636332,364647
636347,364657
636353,364661
636368,364669
636371,364672
636375,364676
636379,364679
636383,364682
636386,364684
636395,364690
636404,364696
636414,364703
636418,364706
636422,364709
636425,364711
636434,364717
636443,364723
636453,364730
636457,364733
636461,364736
636464,364738
636473,364744
636482,364750
636491,364756
636501,364763
640646,68745
640650,68748
640654,68751
640673,68761
640675,68762
640689,68772
640690,68773
640693,68775
640694,68776
641220,526968
641224,526971
641228,526974
641243,526983
641245,526984
641260,526996
641261,526997
641264,526999
641265,527000
648133,326163
649701,681841
649704,681844
649707,681847
649710,681850
649713,681853
649716,681856
658128,40705
663117,637910
663118,637911
666964,117916
682649,681869
682651,681870
682653,681872
682654,681873
682656,681875
682658,681876
682660,681878
682661,681879
682663,681881
682665,681882
682667,681884
682668,681885
682670,681887
682672,681888
682674,681890
682675,681891
682677,681893
682679,681894
682681,681896
682682,681897
682684,681899
682686,681900
682688,681902
682689,681903
682691,681905
682693,681906
682695,681908
682696,681909
682698,681911
682700,681912
682702,681914
682703,681915
682705,681917
682707,681918
682709,681920
682710,681921
682712,681923
682714,681924
682716,681926
682717,681927
682719,681929
682721,681930
682723,681932
682724,681933
682726,681935
682728,681936
682730,681938
682731,681939
682733,681941
682735,681943
682736,681944
682738,681946
682740,681948
682741,681949
682743,681951
682745,681953
682746,681954
682748,681956
682750,681958
682751,681959
682753,681961
682755,681963
682756,681964
682758,681966
682760,681968
682761,681969
697361,153955
740463,407838
740473,407848
743302,299318
755896,812396
755911,812410
798124,28405
833680,591823
839099,86742
842657,745042
843880,93527
862164,332104
926527,836548
927123,347573
933933,340096
957916,269470
980636,90490
985404,99370
