,sdi
0,645306
1,289358
2,332637
3,747283
4,219104
5,459931
6,815693
7,710550
8,245824
9,865210
10,272162
11,95842
12,8997
13,632857
14,224611
15,13042
16,806700
17,441832
18,844468
19,18699
20,27551
21,653324
22,446247
23,796635
24,765797
25,526475
26,166464
27,237864
28,180566
29,798396
30,687983
31,237874
32,11532
33,357747
34,852596
35,460623
36,732731
37,434448
38,209380
39,494120
40,457120
41,384970
42,749240
43,621468
44,133204
45,68743
46,521855
47,805454
48,61626
49,32294
50,95659
51,859846
52,757410
53,566298
54,218819
55,614384
56,466215
57,459503
58,263051
59,332571
60,333803
61,794284
62,738307
63,633927
64,115501
65,89619
66,113141
67,144882
68,790832
69,851735
70,312175
71,871152
72,146805
73,195694
74,3892
75,393281
76,492419
77,779728
78,119781
79,473689
80,141230
81,773518
82,245299
83,418621
84,765970
85,268270
86,847619
87,821761
88,563977
89,594397
90,53455
91,165283
92,441090
93,385670
94,176903
95,590476
96,805289
97,786379
98,575937
99,825458
100,192241
101,864795
102,425363
103,138935
104,65469
105,238594
106,210666
107,5895
108,119285
109,720232
110,246080
111,526817
112,633661
113,784585
114,392227
115,80966
116,386592
117,819380
118,816322
119,377865
120,645370
121,590382
122,101983
123,760522
124,823974
125,669019
126,822240
127,711531
128,176167
129,302177
130,742252
131,552904
132,774319
133,400024
134,165616
135,360835
136,836495
137,650916
138,236983
139,463469
140,575473
141,249479
142,180642
143,834629
144,755561
145,34198
146,231363
147,673412
148,358146
149,284141
150,648361
151,698401
152,118047
153,188150
154,407759
155,629301
156,575088
157,768494
158,768908
159,113741
160,803454
161,316597
162,539779
163,41971
164,246569
165,337794
166,808108
167,62853
168,757997
169,153032
170,785945
171,124000
172,566803
173,842567
174,96355
175,345505
176,810380
177,340934
178,279849
179,838091
180,43551
181,449813
182,145673
183,8550
184,330187
185,614686
186,242845
187,314688
188,715117
189,250176
190,581763
191,368627
192,625475
193,92931
194,243353
195,240335
196,788435
197,459083
198,269581
199,846778
200,570292
201,425053
202,722802
203,295870
204,348636
205,99716
206,101708
207,381135
208,838799
209,84117
210,865303
211,865433
212,481249
213,802165
214,517971
215,470569
216,658826
217,568380
218,284757
219,751724
220,782608
221,810518
222,457135
223,70713
224,124700
225,722798
226,803442
227,193879
228,736870
229,87156
230,674952
231,409113
232,292302
233,192882
234,798626
235,253520
236,154131
237,846693
238,567600
239,602436
240,850330
241,759192
242,154754
243,261004
244,752002
245,144713
246,81332
247,831396
248,659914
249,322042
250,795656
251,283281
252,765804
253,563763
254,6663
255,423233
256,722537
257,683183
258,263672
259,144522
260,553037
261,656949
262,32170
263,61917
264,308518
265,827004
266,345510
267,558954
268,774007
269,742088
270,557172
271,242571
272,853127
273,342055
274,65864
275,264118
276,859031
277,765399
278,279181
279,155706
280,139081
281,714939
282,791904
283,198411
284,244616
285,213535
286,444984
287,395636
288,264290
289,74249
290,246482
291,143406
292,524059
293,731713
294,780022
295,66501
296,813707
297,686117
298,333817
299,289593
300,854135
301,849995
302,251148
303,59587
304,466883
305,797831
306,854765
307,73417
308,796974
309,457566
310,672006
311,107454
312,446814
313,792085
314,80152
315,366112
316,304292
317,416375
318,769868
319,690653
320,270091
321,173730
322,672410
323,472976
324,450884
325,414820
326,653476
327,400592
328,206169
329,204533
330,448983
331,129277
332,269224
333,553050
334,532490
335,411398
336,836429
337,428553
338,615040
339,742447
340,401154
341,668867
342,837476
343,201692
344,712383
345,471266
346,591472
347,109960
348,567913
349,334920
350,62378
351,188486
352,794784
353,736608
354,472787
355,838826
356,134536
357,361858
358,297475
359,812899
360,356961
361,847485
362,215174
363,527667
364,761913
365,549737
366,659847
367,569860
368,765682
369,729214
370,458911
371,632747
372,118421
373,683255
374,144976
375,104322
376,746293
377,730668
378,61209
379,651539
380,332715
381,668593
382,551804
383,105286
384,298665
385,373427
386,714704
387,690938
388,287732
389,851384
390,570237
391,401295
392,264119
393,188441
394,589361
395,393563
396,742032
397,817595
398,669258
399,253531
400,557587
401,470306
402,713831
403,220846
404,871891
405,309644
406,869546
407,211883
408,487650
409,458690
410,840355
411,162990
412,469657
413,274718
414,272874
415,330263
416,740087
417,467127
418,538801
419,468389
420,87150
421,523551
422,134451
423,797373
424,39048
425,98390
426,653868
427,202918
428,857812
429,42732
430,826030
431,416689
432,376797
433,113144
434,262934
435,57427
436,407654
437,793809
438,315135
439,273180
440,839090
441,481244
442,521723
443,419093
444,574560
445,764946
446,320671
447,421633
448,559828
449,761711
450,640978
451,16526
452,56396
453,474730
454,845852
455,611847
456,286692
457,831022
458,345589
459,60624
460,490218
461,59173
462,642838
