uniq_obs_int_id	sample_sdi	n	n_mmdbs	n_nr_mmdbs	cdds	sfs_ids	cdds_B	sfs_ids_B	single	self_lca	lca_level	lca_tax	lca_name	lca_depth
653313	(73116, 4)	720	358	132	GST_N_2,GST_N_3,GST_N_4,GST_N_Alpha,GST_N_Beta,GST_N_Delta_Epsilon,GST_N_GTT1_like,GST_N_GTT2_like,GST_N_Mu,GST_N_Omega,GST_N_Phi,GST_N_Pi,GST_N_Sigma_like,GST_N_SspA,GST_N_Tau,GST_N_Theta,GST_N_Ure2p_like,GST_N_Zeta,GST_N_family,Thioredoxin_like	271479	GST_C_2,GST_C_4,GST_C_6,GST_C_8,GST_C_9,GST_C_AIMP3,GST_C_Alpha,GST_C_Beta,GST_C_Delta_Epsilon,GST_C_GTT2_like,GST_C_Mu,GST_C_Omega,GST_C_Phi,GST_C_Pi,GST_C_Sigma,GST_C_Sigma_like,GST_C_SspA,GST_C_Tau,GST_C_Theta,GST_C_Ure2p,GST_C_Ure2p_like,GST_C_YfcG_like,GST_C_YghU_like,GST_C_Zeta,GST_C_family	271606	0	0	no rank	1	root	2
653309	(45984, 1)	720	358	132	GST_C_2,GST_C_4,GST_C_6,GST_C_8,GST_C_9,GST_C_AIMP3,GST_C_Alpha,GST_C_Beta,GST_C_Delta_Epsilon,GST_C_GTT2_like,GST_C_Mu,GST_C_Omega,GST_C_Phi,GST_C_Pi,GST_C_Sigma,GST_C_Sigma_like,GST_C_SspA,GST_C_Tau,GST_C_Theta,GST_C_Ure2p,GST_C_Ure2p_like,GST_C_YfcG_like,GST_C_YghU_like,GST_C_Zeta,GST_C_family	271606	GST_N_2,GST_N_3,GST_N_4,GST_N_Alpha,GST_N_Beta,GST_N_Delta_Epsilon,GST_N_GTT1_like,GST_N_GTT2_like,GST_N_Mu,GST_N_Omega,GST_N_Phi,GST_N_Pi,GST_N_Sigma_like,GST_N_SspA,GST_N_Tau,GST_N_Theta,GST_N_Ure2p_like,GST_N_Zeta,GST_N_family,Thioredoxin_like	271479	0	0	no rank	1	root	2
524309	(496683, 1)	4	2	1	PBP2_MetR	271876			0	1	no rank	491	Neisseria meningitidis serogroup B	10
648375	(672081, 5)	272	90	38	AAK,AAK_AKii-LysC-BS,AAK_CK,AAK_FomA-like,AAK_G5K_ProB,AAK_NAGK-C,AAK_NAGK-NC,AAK_NAGK-UC,AAK_NAGK-fArgBP,AAK_NAGS-ABP,AAK_UMPK-MosAB,AAK_UMPK-PyrH-Ec,AAK_UMPK-PyrH-Pf	271488	AAK,AAK_UMPK-MosAB		0	0	no rank	131567	cellular organisms	2
613713	(486188, 1)	24	8	4	DUF619-NAGK-FABP,DUF619-NAGS,DUF619-NAGS-U	265431			0	0	no rank	131567	cellular organisms	2
235006	(192927, 6)	38	19	1	pyrophosphatase	260270			0	1	species	4932	Saccharomyces cerevisiae	14
619984	(312584, 1)	6	3	2	AsnA,PTZ00213	271452			0	0	no rank	131567	cellular organisms	2
349588	(322888, 2)	25	13	1	RNase_A_canonical	260206			0	1	species	9913	Bos taurus	30
660368	(641952, 1)	1246	622	45	HIV_retropepsin_like,RP_DDI,RVP	271711			0	0	no rank	1	root	2
524350	(487276, 1)	1	1	1	Snf7	272008			1	1	species	9606	Homo sapiens	32
524351	(487277, 1)	1	1	1	Snf7	272008			1	1	species	9606	Homo sapiens	32
660939	(527094, 20)	193	59	18	Tubulin,alpha_tubulin,beta_tubulin,gamma_tubulin	271689	alpha_tubulin,beta_tubulin		0	0	no rank	131567	cellular organisms	2
660938	(43751, 20)	191	58	17	Tubulin,alpha_tubulin,beta_tubulin	271689	alpha_tubulin,beta_tubulin		0	0	no rank	131567	cellular organisms	2
654012	(439088, 6)	179	49	17	NMNAT,NMNAT_Eukarya,PPAT	271408			0	0	no rank	131567	cellular organisms	2
